x(um)	y(um)	ch(#)
900	0	1
900	50	2
900	100	3
900	150	4
900	200	5
900	250	6
900	300	7
900	350	8
1050	0	9
1050	50	10
1050	100	11
1050	150	12
1050	200	13
1050	250	14
1050	300	15
1050	350	16
600	200	17
600	150	18
600	300	19
600	250	20
600	350	21
600	100	22
750	50	23
750	0	24
750	100	25
600	50	26
750	200	27
750	150	28
750	250	29
600	0	30
750	350	31
750	300	32
300	0	33
300	50	34
300	100	35
450	350	36
300	150	37
300	200	38
300	250	39
450	300	40
300	300	41
300	350	42
450	0	43
450	250	44
450	50	45
450	100	46
450	150	47
450	200	48
0	50	49
0	0	50
0	150	51
0	100	52
0	250	53
0	200	54
0	350	55
0	300	56
150	50	57
150	0	58
150	150	59
150	100	60
150	250	61
150	200	62
150	350	63
150	300	64
